Property,Return on Investment After 1 Land,Return on Investment After 2 Lands,Return on Investment After 3 Lands
Mediterranean Avenue,-19.35,61.29,141.93
Pacific Avenue,-1.92,96.15,194.23
North Carolina Avenue,-1.92,96.15,194.23
Pennsylvania Avenue,6.06,112.12,218.18
Kentucky Avenue,8.24,116.49,224.74
Indiana Avenue,8.24,116.49,224.74
Illinois Avenue,11.11,122.22,233.33
Park Place,11.11,122.22,233.33
Atlantic Avenue,13.86,127.72,241.58
Ventnor Avenue,13.86,127.72,241.58
Marvin Gardens,16.50,133.00,249.51
St. Charles Place,17.18,134.37,251.56
States Avenue,17.18,134.37,251.56
Virginia Avenue,36.36,172.72,309.09
St. James Place,39.70,179.41,319.11
Tennessee Avenue,39.70,179.41,319.11
New York Avenue,42.85,185.71,328.57
Boardwalk,42.85,185.71,328.57
Baltic Avenue,45.16,190.32,335.48
Oriental Avenue,57.14,214.28,371.42
Vermont Avenue,57.14,214.28,371.42
Connecticut Avenue,62.16,224.32,386.48
